fraudulent,employment_type,required_experience,required_education,company_profile_length,description_length,requirements_length,benefits_length,industry_SWOE,function_SWOE,from_US,money_in_title,mentions_salary,telecommuting,has_company_logo,has_questions,has_email,has_phone,has_url,has_fraud_bigram,has_legit_bigram
0,Unspecified,Unspecified,Unspecified,143,50,187,0,-2.823138472,-2.898919407,1,0,0,0,1,0,0,0,0,1,1
0,Full-time,Associate,Bachelor's Degree,88,226,104,0,-3.028126795,-3.981639589,1,0,0,0,1,0,0,0,1,0,1
0,Full-time,Executive,Bachelor's Degree,140,480,94,45,-3.815002963,-3.549243538,0,0,1,0,1,1,0,0,0,0,1
0,Unspecified,Unspecified,Unspecified,136,65,11,2,-2.823138472,-2.898919407,0,0,0,0,1,1,0,0,0,0,1
0,Full-time,Associate,Unspecified,0,48,81,42,-5.60491141,-2.391780105,1,0,1,0,1,0,0,0,0,0,1
0,Full-time,Unspecified,Unspecified,103,31,75,0,-2.856609018,-2.898919407,0,0,0,0,1,1,0,0,0,0,0
0,Full-time,Entry level,High School or equivalent,88,91,85,0,-2.633916062,-2.853301252,1,0,0,0,1,0,0,0,0,1,0
0,Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0
0,Full-time,Entry level,High School or equivalent,88,168,89,0,-3.815002963,-2.853301252,1,0,0,0,1,0,0,0,0,1,0
0,Unspecified,Unspecified,Unspecified,116,109,95,117,-2.823138472,-2.898919407,1,0,0,0,1,0,0,0,0,1,0
0,Full-time,Associate,High School or equivalent,100,88,74,64,-3.291500398,-2.853301252,1,0,0,0,1,1,0,0,0,0,1
0,Full-time,Entry level,High School or equivalent,88,207,97,0,-2.970474687,-2.853301252,1,0,0,0,1,0,0,0,0,1,1
0,Full-time,Mid-Senior level,Bachelor's Degree,142,74,96,82,-3.056588271,-3.981639589,0,0,0,0,1,0,0,0,1,0,1
0,Full-time,Director,Bachelor's Degree,88,445,51,0,-3.028126795,-3.943048543,1,0,0,0,1,0,0,0,0,0,0
0,Full-time,Associate,High School or equivalent,88,293,108,0,-2.633916062,-1.458699604,1,0,0,0,1,0,0,0,0,0,1
0,Full-time,Unspecified,Unspecified,20,116,43,34,-2.823138472,-2.898919407,0,0,0,0,1,1,0,0,0,0,1
0,Part-time,Entry level,High School or equivalent,88,154,92,0,-9.740450581,-2.853301252,1,0,0,0,1,0,0,0,0,1,0
0,Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0
0,Contract,Unspecified,Unspecified,0,63,174,100,-2.823138472,-2.853301252,1,0,0,1,0,1,0,0,1,1,1
0,Unspecified,Unspecified,Unspecified,36,116,11,0,-2.823138472,-2.898919407,1,0,1,0,1,1,0,0,0,0,0
0,Full-time,Unspecified,Unspecified,20,101,32,34,-2.823138472,-2.898919407,0,0,0,0,1,1,0,0,0,0,1
0,Full-time,Associate,Vocational,398,218,204,0,-2.856609018,-3.981639589,0,0,1,0,1,0,0,0,0,0,0
0,Full-time,Mid-Senior level,Bachelor's Degree,12,11,9,19,-3.972869919,-3.080366137,0,0,1,0,1,1,0,0,0,0,0
0,Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0
0,Full-time,Mid-Senior level,Bachelor's Degree,0,88,37,11,-2.169675367,-5.775604967,1,0,0,0,0,0,0,0,0,1,0
0,Unspecified,Unspecified,Unspecified,0,90,111,91,-2.823138472,-2.898919407,1,0,0,0,0,0,1,0,0,0,0
0,Full-time,Mid-Senior level,Bachelor's Degree,0,425,233,4,-2.169675367,-3.981639589,1,0,0,0,0,0,0,0,1,1,1
0,Full-time,Mid-Senior level,Unspecified,273,217,82,32,-2.856609018,-2.834705855,0,0,1,0,1,1,0,0,0,0,1
0,Full-time,Entry level,Bachelor's Degree,402,157,67,31,-2.498791322,-3.981639589,0,0,0,0,1,0,0,0,0,0,1
0,Contract,Unspecified,Bachelor's Degree,9,41,17,3,-9.740450581,-2.898919407,1,0,0,0,1,1,0,0,1,0,0
0,Full-time,Not Applicable,Unspecified,17,132,21,16,-9.740450581,-5.775604967,0,0,1,0,1,1,0,0,0,0,1
0,Unspecified,Unspecified,Unspecified,0,517,0,0,-2.823138472,-2.898919407,1,0,0,0,0,0,0,0,1,0,1
0,Full-time,Unspecified,Unspecified,275,264,81,0,-2.823138472,-2.898919407,0,0,0,0,1,0,1,0,0,0,1
0,Full-time,Unspecified,Unspecified,34,95,0,0,-2.823138472,-2.898919407,1,0,0,0,0,0,0,0,1,0,1
0,Unspecified,Not Applicable,High School or equivalent,136,103,12,2,-2.823138472,-2.853301252,0,0,0,0,1,1,0,0,0,0,1
0,Unspecified,Unspecified,Unspecified,0,1063,0,0,-2.823138472,-2.898919407,1,0,0,0,0,0,0,0,0,1,1
0,Full-time,Mid-Senior level,Unspecified,0,37,64,34,-9.996358046,-2.898919407,0,0,0,0,1,0,0,0,0,0,0
0,Full-time,Unspecified,Unspecified,20,114,63,34,-2.823138472,-2.898919407,0,0,0,0,1,1,0,0,0,0,1
0,Full-time,Mid-Senior level,Bachelor's Degree,128,295,107,58,-5.60491141,-3.549243538,1,0,0,0,1,0,0,0,1,0,1
0,Full-time,Associate,Bachelor's Degree,195,47,106,59,-9.996358046,-4.708274573,1,0,0,0,1,1,0,0,0,0,1
0,Unspecified,Unspecified,Unspecified,116,253,213,117,-4.308790063,-3.549243538,1,0,0,0,1,0,0,0,0,1,0
0,Full-time,Mid-Senior level,Bachelor's Degree,320,196,192,65,-4.627257123,-2.391780105,0,0,0,0,1,1,1,0,0,0,1
