job_id,country,employment_type,required_experience,required_education,industry,function,mentions_salary,telecommuting,has_company_logo,has_questions,fraudulent,from_US,industry_SWOE,function_SWOE
1,US,Other,Internship,Unspecified,Unspecified,Marketing,0,0,1,0,0,1,-2.823138472,-4.403047312
2,NZ,Full-time,Not Applicable,Unspecified,Marketing and Advertising,Customer Service,0,0,1,0,0,0,-2.856609018,-2.853301252
3,US,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,1,0,0,1,-2.823138472,-2.898919407
4,US,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0,0,1,0,0,1,-5.60491141,-3.549243538
5,US,Full-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Health Care Provider,0,0,1,1,0,1,-2.169675367,-5.775604967
6,US,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,0,0,0,1,-2.823138472,-2.898919407
7,DE,Full-time,Mid-Senior level,Master's Degree,Online Media,Management,1,0,1,1,0,0,-4.567343235,-3.943048543
8,US,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,1,1,0,1,-2.823138472,-2.898919407
9,US,Full-time,Associate,Unspecified,Information Technology and Services,Unspecified,0,0,1,1,0,1,-3.972869919,-2.898919407
10,US,Part-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,0,1,0,0,1,-3.056588271,-2.853301252
11,US,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,1,0,0,0,0,1,-3.972869919,-3.981639589
12,GB,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,1,0,0,0,-2.823138472,-2.898919407
13,US,Full-time,Associate,Bachelor's Degree,Management Consulting,Information Technology,0,0,1,0,0,1,-3.028126795,-3.981639589
14,US,Full-time,Not Applicable,Unspecified,Events Services,Other,0,0,1,1,0,1,-6.958428728,-2.216166691
15,AU,Full-time,Associate,Bachelor's Degree,Internet,Sales,0,0,1,0,0,0,-9.996358046,-3.549243538
16,SG,Full-time,Executive,Bachelor's Degree,Facilities Services,Sales,1,0,1,1,0,0,-3.815002963,-3.549243538
17,IL,Full-time,Mid-Senior level,Unspecified,Internet,Engineering,0,0,1,0,0,0,-9.996358046,-2.391780105
18,GB,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,1,1,0,0,-2.823138472,-2.898919407
19,US,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,1,0,0,1,-2.823138472,-2.898919407
20,US,Full-time,Unspecified,Unspecified,Unspecified,Unspecified,0,0,0,0,0,1,-2.823138472,-2.898919407
21,US,Unspecified,Unspecified,Unspecified,Unspecified,Marketing,0,0,1,0,0,1,-2.823138472,-4.403047312
22,NZ,Full-time,Mid-Senior level,Master's Degree,Consumer Electronics,Engineering,0,0,1,0,0,0,-7.16991887,-2.391780105
23,AE,Full-time,Mid-Senior level,Bachelor's Degree,Telecommunications,Sales,0,0,1,1,0,0,-2.498791322,-3.549243538
24,US,Full-time,Executive,Unspecified,Internet,Sales,1,0,1,0,0,1,-9.996358046,-3.549243538
25,GB,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,0,0,0,0,-2.823138472,-2.898919407
26,US,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,0,0,1,1,0,1,-2.823138472,-2.898919407
27,SG,Full-time,Associate,Unspecified,Online Media,Marketing,0,0,1,0,0,0,-4.567343235,-4.403047312
28,AE,Full-time,Associate,Master's Degree,Hospital & Health Care,Health Care Provider,0,0,1,0,0,0,-2.169675367,-5.775604967
29,US,Full-time,Unspecified,Unspecified,Management Consulting,Unspecified,0,0,0,0,0,1,-3.028126795,-2.898919407
30,CA,Full-time,Entry level,High School or equivalent,Consumer Services,Administrative,0,0,1,0,0,0,-2.633916062,-1.458699604
31,US,Full-time,Entry level,High School or equivalent,Computer Software,Customer Service,0,0,1,0,0,1,-5.60491141,-2.853301252
32,US,Full-time,Associate,Unspecified,Computer Software,Engineering,1,0,1,0,0,1,-5.60491141,-2.391780105
33,US,Full-time,Entry level,Unspecified,Construction,Other,0,0,1,1,0,1,-3.934917469,-2.216166691
34,US,Full-time,Unspecified,Bachelor's Degree,Oil & Energy,Engineering,0,0,1,1,0,1,-0.495323056,-2.391780105
