employment_type,required_experience,required_education,company_profile_length,description_length,requirements_length,benefits_length,industry_SWOE,function_SWOE,from_US,money_in_title,mentions_salary,telecommuting,has_company_logo,has_questions,has_email,has_phone,has_url,has_fraud_bigram,has_legit_bigram,fraudulent
Other,Internship,Unspecified,150,132,119,0,-2.823138472,-4.403047312,1,0,0,0,1,0,0,0,0,1,1,0
Full-time,Not Applicable,Unspecified,170,324,198,235,-2.856609018,-2.853301252,0,0,0,0,1,0,0,0,1,0,1,0
Unspecified,Unspecified,Unspecified,143,50,187,0,-2.823138472,-2.898919407,1,0,0,0,1,0,0,0,0,1,1,0
Full-time,Mid-Senior level,Bachelor's Degree,90,355,181,107,-5.60491141,-3.549243538,1,0,0,0,1,0,0,0,0,0,1,0
Full-time,Mid-Senior level,Bachelor's Degree,214,179,93,3,-2.169675367,-5.775604967,1,0,0,0,1,1,0,1,0,0,1,0
Unspecified,Unspecified,Unspecified,0,502,0,0,-2.823138472,-2.898919407,1,0,0,0,0,0,0,0,1,1,1,0
Full-time,Mid-Senior level,Master's Degree,141,61,81,67,-4.567343235,-3.943048543,0,0,1,0,1,1,0,0,1,0,1,0
Unspecified,Unspecified,Unspecified,164,409,55,122,-2.823138472,-2.898919407,1,0,0,0,1,1,0,0,1,0,1,0
Full-time,Associate,Unspecified,197,9,54,0,-3.972869919,-2.898919407,1,0,0,0,1,1,0,0,0,0,1,0
Part-time,Entry level,High School or equivalent,88,156,99,0,-3.056588271,-2.853301252,1,0,0,0,1,0,0,0,0,1,0,0
Full-time,Mid-Senior level,Bachelor's Degree,0,363,363,7,-3.972869919,-3.981639589,1,0,1,0,0,0,1,0,1,1,1,0
Unspecified,Unspecified,Unspecified,56,203,102,89,-2.823138472,-2.898919407,0,0,0,0,1,0,0,0,0,0,0,0
Full-time,Associate,Bachelor's Degree,88,226,104,0,-3.028126795,-3.981639589,1,0,0,0,1,0,0,0,1,0,1,0
Full-time,Not Applicable,Unspecified,57,134,92,0,-6.958428728,-2.216166691,1,0,0,0,1,1,0,0,0,0,1,0
